stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,36.8,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,13.95,0,4.93,4.1,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,52.37,0,8.06,3.22,0,0,0,0,0,0,12.09,0,0,0,0
 48-58,0,0,0,0,0,4.59,0,1.72,0,0,0.57,0,1.72,0,0,0,0,53.94,0,6.31,5.16,0,0,0,0,0,0,13.2,0,0.57,0,0
 60-70,0,0,0,0,0,5.89,0,0.98,0,0,0,0,2.94,0.98,0,0,0,116.8,0,11.78,12.76,0,0,0.98,0,0,0,14.72,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,45.16,0,8.83,0,0,0,0,11.78,4.91,0,0,0.98,211.06,0,34.36,35.34,0,0,0,0,0,0,26.5,0,0.98,0,0
 84-94,0,0,0,0,3.19,28.68,0,10.62,1.06,0,1.06,0,12.74,2.12,0,1.06,0,124.26,0,24.43,55.23,0,1.06,0,0,0,0,11.68,0,0,0,0
 96-106,0,0,0,0,2.19,50.27,0,15.3,2.19,0,0,1.09,28.41,4.37,1.09,0,1.09,128.96,0,51.36,75.41,0,0,0,1.09,0,0,14.21,0,0,0,0
108-118,0,0,0.77,0,0.77,60.51,0.77,19.92,0.77,0,1.53,0,19.15,6.13,0,0,0.77,186.89,0,32.17,52.85,0,0,0.77,0,0.77,0,9.96,1.53,0,0,0.77
120,0,0,0,0,0,33.32,0,23.52,0,0,0,1.96,17.64,3.92,0,0,0,239.09,0,37.24,47.03,0,0,0,0,1.96,0,29.4,0,0,1.96,0
