stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,3.22,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0.57,0,4.02,0.57,0,0,5.74,1.15,0,0,0
 60-70,2.94,0,1.96,0,0.98,0,0,0,0.98,0.98,4.91,0,0,0.98,11.78,1.96,0,0,0
 72-82,8.83,0,6.87,0,0.98,0.98,0,0.98,0.98,0,6.87,0,0,0,20.61,0,0,0,0.98
 84-94,12.74,0,0,2.12,1.06,0,7.43,0,3.19,1.06,2.12,0,1.06,0,72.22,1.06,1.06,0,0
 96-106,9.84,1.09,3.28,6.56,1.09,0,0,0,0,2.19,2.19,0,0,0,132.23,0,0,0,1.09
108-118,10.72,0,2.3,3.83,0.77,0,1.53,0,0,3.83,3.06,0,0,0,72.77,0,0,0,0
120,3.92,0,0,1.96,0,0,3.92,0,0,3.92,3.92,0,0,0,41.16,0,0,1.96,0
