stage,epidermis,eye,glial,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0,0,0,0,4,0,2
 24-34,0,3.28,0,0,0,4.1,0,1.64,36.94,0.82,3.28
 36-46,0,16.11,0.81,0,0,1.61,0,0,13.7,0,2.42
 48-58,0,13.2,0,0.57,0,2.3,0.57,0,6.89,0,0.57
 60-70,0,6.87,1.96,0,0.98,1.96,0,0,4.91,0,0
 72-82,0,4.91,0.98,0,0,0.98,0,0.98,1.96,0,0
 84-94,1.06,2.12,2.12,0,0,1.06,0,0,0,0,0
 96-106,1.09,4.37,0,0,0,1.09,0,0,2.19,0,0
108-118,0,2.3,0,0,0,0,0,0,0.77,0,0
120,0,1.96,0,0,0,1.96,0,0,5.88,0,0
