stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,slow.muscle,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,10.51,2.63,10.51,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,25.18,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,0.98,0.98,0.98,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,21.6,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,19.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,7.65,0,41.53,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,3.83,0,24.51,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,41.16,1.96,0,1.96,0,0,0,0,0
