stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,3.28,52.53,15.6,0,0,0,9.85,0,0,0,0
 36-46,0.81,0,3.22,0,0,0,0,0,0.81,3.22,0.81,62.04,8.06,0,0,0.81,24.17,0.81,0.81,0,0
 48-58,0.57,1.15,6.31,0,0.57,1.15,0,0,0,7.46,0.57,27.54,2.87,0.57,0,0,2.3,0,0,0,0.57
 60-70,0,0,4.91,0,0,0.98,0,0,0,11.78,0,25.52,2.94,0,0,0,1.96,0,0,0,0.98
 72-82,1.96,0,8.83,0,2.94,0.98,0,0,0,7.85,0.98,24.54,0,0,0,0,0,0,0,0,0.98
 84-94,1.06,0,2.12,0,1.06,0,1.06,0,0,6.37,1.06,12.74,3.19,0,0,1.06,2.12,0,0,0,0
 96-106,1.09,1.09,1.09,1.09,0,2.19,0,1.09,0,0,0,3.28,7.65,0,0,0,0,0,0,0,0
108-118,1.53,0,1.53,0,0,0,0,0,0,0.77,0.77,5.36,3.83,0,0,0,0.77,0,0,0,0
120,1.96,0,1.96,0,0,0,0,0,0,0,0,13.72,7.84,0,0,0,0,0,0,1.96,0
