stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,9,1,0,0,9,1,0,1,8,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0.82,0,4.1,0,0,2.46,0,0,44.33,0.82,0,0,27.09,0,0,0,15.6,0,0.82
 36-46,0,0,0.81,0,4.83,0,0.81,0,0.81,0,0,1.61,0,0,1.61,0.81,0,150.66,8.06,0,0,36.26,0,0,0,31.42,0,0
 48-58,0,0,1.15,0,16.64,0,0.57,0,0.57,0,0,0.57,0.57,0,1.72,0,0,172.14,4.59,1.15,0,4.02,0,0,0,27.54,0,0.57
 60-70,0,0,0.98,0,79.5,2.94,1.96,0,0,0,0,0,0,0,4.91,0,0.98,391.63,3.93,0.98,0,1.96,0,0,0,36.32,0,0
 72-82,0,0,3.93,1.96,67.73,0,3.93,0,0,0,0,3.93,0,0,5.89,0,0,277.81,17.67,4.91,0,0.98,0,0.98,0,29.45,0,0.98
 84-94,0,0,1.06,0,45.67,5.31,4.25,1.06,1.06,0,1.06,2.12,0,1.06,1.06,0,0,114.7,5.31,6.37,1.06,8.5,0,1.06,0,13.81,1.06,0
 96-106,0,0,4.37,0,27.32,4.37,10.93,1.09,0,0,0,5.46,0,2.19,3.28,0,1.09,90.71,32.79,12.02,0,2.19,0,0,0,8.74,2.19,0
108-118,0,0.77,6.13,0,29.87,2.3,1.53,0,0,0.77,0,3.83,0.77,0.77,2.3,0,0,126.38,9.19,6.13,0,3.83,0,0,0,5.36,0.77,0
120,0,0,7.84,0,21.56,0,5.88,0,0,0,0,0,0,3.92,3.92,0,0,131.31,7.84,3.92,0,1.96,0,0,0,1.96,0,0
