stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,1.64,0,0.82,0,0,0
 36-46,0.81,0,0,0,0,0,0,1.61,0,3.22,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,5.74,0,2.87,0,0.57,0,0,0.57,0.57,0,0.57,0
 60-70,0.98,0,0.98,1.96,0.98,0,0,9.82,0,4.91,0,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,3.93,0,0.98,0,0,15.71,0.98,4.91,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,1.06,1.06,0,0,1.06,0,13.81,2.12,4.25,0,0,0,2.12,0,0,0,0,1.06
 96-106,1.09,2.19,2.19,0,0,0,1.09,5.46,0,6.56,0,0,0,2.19,0,0,0,0,0
108-118,0.77,0,3.06,0,0,0,0,3.83,0.77,3.83,0,0,0,0.77,0,0.77,0,0,0
120,0,0,3.92,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
