stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,97.26,7.89,0,0,36.8,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,22,1,1,0,2,0,0,0,4,1,1,6,13,0,0,0,0
 24-34,0,0,0.82,2.46,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,5.75,0,0,3.28,64.85,0,0,2.46,0,0,4.93,0,0,0.82,0,0.82,16.42,0,0,2.46,0
 36-46,0,0,0,0,0,9.67,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,8.06,0,0,0.81,79.76,0,2.42,0.81,0,0,3.22,0,0,0,0,0,24.17,0,0,3.22,0
 48-58,0,0,0,1.15,0,24.67,0,0.57,0.57,4.02,0,0,0,0,0,0,0,0,0,5.74,0.57,0.57,1.72,88.94,0.57,0,0,0,0,1.72,0,0,0,0,0,21.8,0,0,0.57,0.57
 60-70,0,0,0,1.96,0,24.54,0,0.98,0.98,2.94,0,0,0,0,0,0,0,0.98,0,19.63,0.98,0,0,87.36,0,1.96,1.96,0,0,0.98,0,0,0,0,0,16.69,0,0,0,0
 72-82,0,0,0,1.96,0.98,27.49,0,0.98,0,7.85,1.96,0,0,0,0,0.98,0,0,0,23.56,0,0,5.89,87.37,0,0,0,0,0,2.94,0,0,0,0,0,9.82,0,0.98,0,0
 84-94,0,0,0,4.25,0,18.05,0,4.25,0,3.19,0,0,2.12,0,0,0,1.06,0,1.06,15.93,0,1.06,0,41.42,1.06,1.06,1.06,0,0,13.81,0,0,0,0,0,4.25,1.06,0,3.19,0
 96-106,0,0,0,1.09,2.19,22.95,0,2.19,0,8.74,0,0,0,3.28,0,0,0,0,0,12.02,0,1.09,1.09,45.9,0,1.09,4.37,0,0,6.56,0,0,0,0,0,2.19,0,0,2.19,0
108-118,0,0,0,3.06,2.3,13.02,0,1.53,0,6.89,0,0,0,0,0.77,0,0,0,0.77,12.26,0,0,2.3,43.66,0,0,0,0,0.77,3.83,0,0,0,0,0,2.3,0,0,1.53,0
120,0,0,0,0,3.92,11.76,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,13.72,0,0,1.96,43.12,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
