stage,blastomeres,epidermis,eye,melanocytes,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,79.07,0,0,0
  5-6,6.13,0,0,0,0,0,18.39,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,2.46,0,1.64,0,0
 36-46,0,0,0,0,0.81,4.03,0,0,0,0
 48-58,0,0,0.57,0,0.57,2.87,0,0,0,0
 60-70,0,0,0.98,0,0,9.82,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,5.89,0,0.98,0.98,0
 84-94,0,0,0,0,0,4.25,1.06,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0.77,1.53,0.77,0,3.06,0,0,0,0
