stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,6,8,1,0,0,1,0,1,0,0,4,7,0,0,1,0,0
 24-34,0,0,1.64,1.64,0,0,1.64,0,1.64,0.82,3.28,0,0,0.82,0,0,0,0,0,1.64,8.21,0,0,5.75,49.25,0.82,3.28,0,0,0,4.93,0,0,0.82,22.98,0,0,3.28,0,5.75
 36-46,0,0,0,4.03,0,0,4.03,1.61,0,3.22,7.25,0,0,0.81,0,0,0,0,0,2.42,10.47,0,0.81,12.09,78.15,3.22,5.64,0,0,0,1.61,0,0,0,23.36,0,0,3.22,0,3.22
 48-58,0,0,0.57,2.3,0,0,14.35,1.15,0,1.15,13.2,0,0.57,1.15,0.57,0,1.15,0,0,3.44,28.12,1.15,0.57,5.16,107.88,1.15,0.57,0.57,0,0,2.3,0,0.57,0,22.95,0,0,6.31,0,2.87
 60-70,0,0,0,1.96,0,0,48.09,1.96,0,3.93,8.83,0,0,0,0,0.98,0.98,0,0,0.98,37.3,0.98,0.98,1.96,186.49,0,2.94,1.96,0,2.94,2.94,0,0,0,15.7,1.96,0.98,1.96,0.98,0
 72-82,0,0,0.98,1.96,0.98,0,38.28,0.98,1.96,2.94,25.52,0.98,0,1.96,3.93,0,0.98,1.96,0,0.98,57.92,0.98,2.94,8.83,178.66,0.98,3.93,0.98,0,1.96,0.98,0,0,0,17.67,1.96,2.94,9.82,2.94,3.93
 84-94,0,0,1.06,5.31,1.06,0,22.3,1.06,0,3.19,9.56,1.06,0,1.06,6.37,0,5.31,0,0,0,36.11,0,0,4.25,77.53,0,0,2.12,0,1.06,6.37,0,0,0,6.37,1.06,2.12,1.06,0,1.06
 96-106,0,0,2.19,5.46,1.09,1.09,17.49,0,1.09,1.09,21.86,1.09,1.09,1.09,2.19,0,2.19,3.28,1.09,5.46,20.76,2.19,3.28,1.09,54.64,1.09,6.56,4.37,0,6.56,14.21,0,0,0,5.46,4.37,0,9.84,3.28,2.19
108-118,0,0,0.77,6.89,0,0,19.15,3.06,0.77,0.77,10.72,2.3,0,0,8.43,0.77,3.06,0,0,7.66,16.85,2.3,3.06,4.6,65.87,0,6.89,4.6,0,3.83,3.83,0,0,0,4.6,3.06,0.77,11.49,1.53,1.53
120,0,0,1.96,13.72,1.96,0,11.76,0,0,0,7.84,1.96,0,0,3.92,1.96,3.92,1.96,1.96,0,11.76,0,0,5.88,66.63,0,5.88,3.92,0,0,17.64,0,0,0,5.88,0,0,7.84,0,0
