stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0.82,4.1,0,0,0,0,0,0,30.37,1.64,0.82,0,1.64,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,1.61,6.45,0,0,0.81,0,1.61,0,38.67,0,0,0,1.61,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,1.72,4.02,0,0,0,0,4.59,0,35.58,0.57,0,0.57,2.87,0,0,0,2.3,0,0.57,0,0
 60-70,0,0,0,0,0.98,2.94,0,0,0,0,0,10.8,0,15.7,0,0,0,4.91,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,6.87,0.98,0.98,0,0,0,0,6.87,0,36.32,0.98,0,0,4.91,0,0,0,1.96,0,0.98,1.96,0
 84-94,0,1.06,0,1.06,4.25,2.12,0,0,0,0,0,19.12,0,44.61,2.12,0,0,3.19,0,0,1.06,2.12,0,0,1.06,0
 96-106,0,1.09,0,0,6.56,1.09,1.09,0,0,0,0,15.3,0,48.09,0,0,0,6.56,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,0,3.83,0,1.53,0.77,0,0,0.77,26.81,0,62.04,1.53,0,0,5.36,0,0,0.77,0.77,0,0,0.77,0
120,0,0,0,0,5.88,1.96,1.96,0,0,0,0,21.56,1.96,27.44,3.92,0,0,0,0,0,0,0,1.96,0,0,0
