stage,axial,epidermis,erythrocytes,eye,fin.mesenchyme,iridophores,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,8.03,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,0,20.61,0,0.98,0,0,1.96
 72-82,0,0,0,6.87,0,0,49.08,0,0,0,0,1.96
 84-94,0,0,0,6.37,0,0,23.36,0,0,0,0,0
 96-106,0,0,1.09,4.37,1.09,0,24.04,0,1.09,0,0,1.09
108-118,0,0,1.53,0.77,0,0,23.74,0,0,0,0,0
120,0,0,0,0,0,1.96,35.28,1.96,0,0,1.96,0
