stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,28.92,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,233.96,7.89,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,40.91,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,5,2,0,0,1,0,0,0,0,0,0,0,0,4,0,14,45,1,0,2,2,1,0,11,2,3,5,16,0,0,0,0
 24-34,0,0,0.82,0.82,4.1,0,2.46,0,3.28,1.64,0,0,0,0.82,0,1.64,0.82,0,10.67,0,4.93,37.76,0.82,0,1.64,0,0.82,0,0,0,0,0.82,14.78,0,2.46,0,0
 36-46,0,0,0,0,0,0,1.61,0,2.42,0,0,0.81,0,0,0,0,0,0,25.78,0.81,0.81,24.98,0,0,1.61,0,0.81,0,0,0,0,0,6.45,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,2.87,1.15,0.57,0,0,0,0,0,0,0,0.57,0,15.49,0.57,2.87,8.61,0,0,0.57,0,0.57,0,0,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0.98,0.98,0,0,0,0,0.98,37.3,0,5.89,4.91,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,31.41,0.98,6.87,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,1.06,0,1.06,0,0,0,0,0,0,23.36,1.06,7.43,6.37,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,1.09,1.09,0,0,0,0,1.09,0,0,0,0,27.32,1.09,5.46,6.56,0,1.09,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0,1.53,0,3.83,1.53,0,0,0,0,0,0,0.77,0,0,0,18.38,0,3.06,6.89,0.77,0,1.53,0,0.77,0,0,0,0,0,0.77,0,1.53,1.53,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,11.76,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
