stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,13.14,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,2.46
 36-46,0,0,0,0,0.81,0,0,0,0.81,10.47,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,19.51,0,0,0,0,2.3
 60-70,0,0,0,0.98,0.98,0,3.93,0,0,44.17,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,3.93,0.98,0,37.3,1.96,0,0,0,2.94
 84-94,0,0,0,0,0,0,1.06,0,0,21.24,0,0,0,0,1.06
 96-106,0,0,0,2.19,1.09,0,1.09,0,0,17.49,0,0,1.09,0,0
108-118,0,0,0.77,1.53,0.77,0,0.77,0,0,15.32,0,0,0,0,0.77
120,0,0,1.96,5.88,0,0,1.96,0,1.96,17.64,0,0,0,0,1.96
