stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,3.15,0,0,44.06,0,0,3.15,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,0,7,0,0,4,0,0,0,7,1,0,0,0,0,0,0,0,3,0,2,231,1,2,0,1,0,1,0,3,4,0,1,164,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0.82,0,12.31,0,0,0,5.75,0,0,0,0.82,0,0,0,0,3.28,0,0.82,612.36,0,3.28,3.28,0,0,0.82,0,0,0,0,0.82,214.24,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0,62.84,0,0,0,20.14,0,0.81,0,0,0,0,0,0,14.5,0,2.42,1111.02,0,8.86,5.64,0,0,0,0,0,0,0,0,282.79,0,0,2.42,0,0.81
 48-58,0,0,0,0,3.44,0,0,153.21,0,0.57,1.15,59.68,0,0.57,0,0,0,0,0.57,0,12.05,1.15,3.44,1016.21,0,3.44,5.16,0,0.57,0,0,0,0.57,9.75,0,239.28,0,0,4.02,0,0
 60-70,0,0,0.98,0,0.98,0,0,341.57,0,0.98,0,66.74,0,0.98,0,0,0,0,0.98,0,16.69,0,2.94,1160.16,0,3.93,2.94,0.98,0,1.96,0,0,0,3.93,0,163.91,0,0,1.96,0.98,0.98
 72-82,0,0,0.98,0,6.87,4.91,0,281.74,1.96,0.98,0,96.2,0,0.98,0,0,0,0,0,0,37.3,0.98,3.93,866.81,0,6.87,13.74,0,0.98,0,0,0,0,1.96,0,104.06,0.98,0,11.78,1.96,0
 84-94,0,0,3.19,0,6.37,0,0,161.43,3.19,0,2.12,73.28,0,0,0,0,0,1.06,1.06,1.06,21.24,3.19,1.06,474.73,0,1.06,12.74,0,0,3.19,0,0,0,7.43,0,58.41,0,3.19,12.74,4.25,0
 96-106,0,0,0,1.09,8.74,2.19,0,134.42,0,0,2.19,62.29,3.28,0,2.19,0,0,0,1.09,0,24.04,0,0,371.57,0,3.28,18.58,0,0,2.19,0,0,0,7.65,0,28.41,0,4.37,7.65,2.19,1.09
108-118,0,0,0,0,7.66,0.77,0.77,114.13,6.13,0,0.77,65.87,0,0.77,0.77,1.53,2.3,2.3,0.77,0,18.38,3.06,3.83,369.96,0,7.66,16.85,0,0.77,0.77,0,0,0,12.26,0,9.96,0.77,0.77,3.06,3.83,0
120,0,0,0,0,13.72,0,0,101.91,7.84,0,0,64.67,0,1.96,1.96,0,0,5.88,1.96,0,19.6,1.96,0,470.35,0,9.8,21.56,0,0,0,0,0,1.96,9.8,0,25.48,0,0,0,3.92,0
