stage,axial,blastomeres,eye,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,3.15,6.29,0,0,0,0,78.67,0,18.88,0,6.29,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,3.28,1.64,0,3.28,0,1.64
 36-46,0,0,0,0,0,0,0,5.64,4.03,0,2.42,0,0.81
 48-58,0,0,0.57,0,0,0.57,0,5.74,0.57,0,0.57,0,1.72
 60-70,0,0,0,0,1.96,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0.98,2.94,0,0,0.98,1.96,0,0,0,0
 84-94,0,0,0,0,10.62,0,0,2.12,11.68,0,1.06,0,0
 96-106,0,0,0,0,8.74,0,0,1.09,22.95,0,8.74,0,0
108-118,0,0,0,0,11.49,0.77,0.77,0.77,13.02,0,2.3,0,0.77
120,0,0,0,0,5.88,0,0,1.96,9.8,0,3.92,0,0
