stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,1.64,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,1.64,18.06,8.21,0,0,0,0,0,2.46,0,0.82,0.82
 36-46,0,0,0.81,0,0,0,1.61,1.61,0,0,0.81,2.42,0,0,2.42,0,0,0,14.5,3.22,1.61,0,0.81,0,0,5.64,0,0.81,0
 48-58,0,0,0,0,0.57,0,4.59,1.72,0,0,0.57,0,1.15,0,1.72,1.15,0.57,0,20.08,2.3,0.57,0,0.57,0.57,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,8.83,3.93,0.98,0,0,8.83,0.98,0,2.94,0.98,0,0,24.54,0.98,4.91,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,1.96,1.96,0.98,0,8.83,7.85,3.93,0,0,2.94,1.96,0,2.94,3.93,0,0,40.25,2.94,6.87,0,0.98,0,0,1.96,3.93,0,0
 84-94,0,0,0,3.19,0,0,3.19,3.19,6.37,0,0,2.12,8.5,1.06,1.06,2.12,0,1.06,26.55,1.06,8.5,0,0,0,0,1.06,9.56,0,0
 96-106,0,0,2.19,2.19,0,0,6.56,4.37,6.56,0,1.09,5.46,10.93,0,4.37,2.19,0,0,21.86,1.09,7.65,0,0,0,0,0,9.84,0,0
108-118,0,0,1.53,0.77,0.77,0.77,3.06,6.13,6.13,0,0.77,2.3,5.36,0,1.53,2.3,0,0,32.17,1.53,2.3,0,0,0,2.3,0.77,10.72,0,0
120,0,0,3.92,1.96,0,0,3.92,7.84,5.88,0,1.96,3.92,3.92,0,3.92,1.96,0,0,31.36,0,5.88,0,0,0,1.96,1.96,3.92,0,0
