stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,49.04,704.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,23.66,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,116,1,2,0,0,0,0,3,0,66,0,0,0,0
 24-34,0,0,0.82,0,0,0,8.21,0,0,3.28,0,0,0,0,0.82,0,0,0,0,0,0,1.64,552.44,0,11.49,1.64,0,0.82,0,4.93,0.82,130.52,0,0,0,0
 36-46,0,0,0,0,0,0.81,60.43,0,0,10.47,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0.81,1044.15,0,8.86,0,0,0.81,0,4.03,0,222.36,0,0.81,0,0
 48-58,0,0,0,0,2.3,0.57,231.24,0,0.57,33.28,0,0,0,1.15,0,0,0,1.15,0.57,8.61,1.15,1.72,1279.58,0,7.46,0.57,0,0,0,1.72,0,242.15,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,0,305.25,0,0,20.61,0,0,0,0,0,0.98,0,0.98,0,9.82,0,0,1199.42,0,3.93,0,0,1.96,0,0.98,0,168.82,0.98,0,0,0
 72-82,0,0,2.94,0,6.87,2.94,278.79,0.98,0,30.43,0.98,0,0.98,0,0,0,0,0,0,11.78,0,0,924.73,0.98,8.83,0,0,0,0,7.85,0,88.35,0,0.98,1.96,0
 84-94,0,0,0,0,6.37,1.06,141.25,0,0,19.12,1.06,0,1.06,0,0,0,1.06,0,0,14.87,2.12,0,448.18,0,2.12,1.06,0,1.06,0,24.43,0,38.23,0,2.12,0,0
 96-106,0,0,1.09,0,2.19,0,118.03,0,1.09,20.76,0,0,0,1.09,0,1.09,1.09,0,0,12.02,1.09,1.09,363.92,0,8.74,2.19,0,1.09,0,8.74,0,20.76,0,1.09,1.09,2.19
108-118,0,0,0.77,0,5.36,0.77,99.58,0,0,15.32,0,0,0,0,0,1.53,0,0.77,0.77,7.66,0,0,414.39,0,6.13,0.77,0,0,0,7.66,0,11.49,0,0,0,0.77
120,0,0,1.96,0,7.84,0,68.59,0,1.96,13.72,1.96,0,0,1.96,0,0,0,0,0,5.88,0,0,350.8,0,9.8,0,0,1.96,0,7.84,0,9.8,0,0,0,0
