stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0
  7-9,10.51,0,18.4,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,23.66,5.26,0,31.54,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,22.03,0,0,6.29,0,0,0
 14-21,0,0,0,3,1,0,0,1,0,0,0,0,0,0,4,0,1,5,0,0,1,0,3,0,5,5,0
 24-34,0,0,0,0,1.64,0.82,3.28,0,0,0,0,0,0,0,0,0,0.82,9.85,0,0,0,0,0,0.82,19.7,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,3.22,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0.57,2.87,0,0.57,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,0,9.82,0,0,0,2.94,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,2.12
 96-106,0,0,0,1.09,0,0,0,0,0,0,14.21,0,1.09,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,4.37
108-118,0,0,0,0,0,0,0,0.77,0,0,9.96,0.77,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,1.96,0,0,0,0,23.52,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,5.88
