stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0.81,0,0,0.81,6.45,0,0,1.61,0.81,0
 48-58,0,0,0.57,0.57,0,0,0,0,2.3,0.57,0,0,4.59,0.57,0,2.3,0,0
 60-70,0,0.98,0,1.96,0,1.96,0.98,0.98,5.89,0,0,0,13.74,0,0,0.98,0,0
 72-82,0,0.98,0,3.93,0,0,0.98,0,4.91,0,0.98,0,4.91,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0,6.56,0,4.37,0,0,0
108-118,0,0,0,0,0,0,3.83,0.77,0,0,0,0,6.13,0,0.77,0,0,0
120,0,0,0,1.96,0,0,11.76,1.96,1.96,0,0,0,11.76,0,1.96,0,1.96,1.96
