stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,2.46,3.28,0,0,0,0,0.82,0,5.75,0,0,0,0,0
 36-46,0,1.61,0,0,0.81,0,0,0,0,0,0,5.64,0,0,2.42,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0.57,2.87,0,1.15,5.16,0,0,0,0,0,0,0.57,0,0,0.57,0,1.15
 60-70,0,0.98,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,2.94,0,0,0,0,0,0,0,2.94,0,0.98,4.91,0,0.98,0.98,0,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,3.28,0,1.09,0,1.09,0,0,0,2.19,0,0,1.09,0,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0.77,0.77,0.77,0,2.3,1.53,0.77,2.3,0.77,0,0,0,0,0,0,0,0,0,1.53,0
120,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
