stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,32,12,0,2,0,0,0,1,0,3,0,3,0,0,0,0,33,0,0,22,8,2,0,0,1,0,0,0,4,0,4,3,0,0,31,0,0
 24-34,0,0,0.82,0,41.86,2.46,0,4.1,7.39,2.46,0,0,0,14.78,0,7.39,0,0.82,0,0,128.87,0,0.82,74.7,37.76,7.39,0,2.46,0,0,2.46,0,0,0,3.28,8.21,0,0,142.01,0,0
 36-46,0,0,0.81,0,16.11,0.81,0,8.06,8.86,8.86,0,0,0,14.5,0,2.42,0,0,0,0,189.33,0,1.61,49.15,29,11.28,0.81,0.81,0,0,0.81,0,0,0,0,12.89,0,0,114.41,0,0
 48-58,0,0,0,0,6.89,0,0,6.89,12.05,20.08,3.44,0,0,14.35,0,1.72,0.57,0,0,0.57,253.05,0,1.15,28.12,29.84,10.33,0.57,2.3,0,0,1.15,0,0,0,0,6.89,0,0,87.22,0,2.87
 60-70,0,0,0,0,9.82,0.98,0,17.67,9.82,19.63,0.98,0,0,12.76,0,1.96,2.94,0,0,1.96,343.53,0,2.94,19.63,31.41,8.83,0,0,0,0,0,0,0,0,0,3.93,0,1.96,86.37,0.98,4.91
 72-82,0,0,0,0,19.63,0,0,24.54,5.89,30.43,13.74,0,0.98,21.6,0,2.94,3.93,0,1.96,1.96,394.63,0,6.87,24.54,57.92,3.93,0,10.8,0,0.98,1.96,0,0,0,0,2.94,0,6.87,148.23,6.87,2.94
 84-94,0,0,0,0,23.36,1.06,0,40.36,8.5,20.18,9.56,3.19,1.06,9.56,1.06,5.31,3.19,1.06,0,3.19,234.71,1.06,8.5,11.68,32.92,11.68,0,3.19,0,0,5.31,0,0,0,0,0,2.12,4.25,118.95,4.25,3.19
 96-106,0,0,0,0,24.04,2.19,0,18.58,7.65,8.74,8.74,0,0,18.58,1.09,6.56,1.09,1.09,1.09,1.09,172.67,1.09,2.19,10.93,36.06,5.46,0,5.46,0,0,4.37,0,0,1.09,0,2.19,0,4.37,100.54,9.84,0
108-118,0,0,0,0.77,30.64,0,1.53,37.53,23.74,17.62,12.26,3.06,0,9.96,0,6.89,1.53,0.77,0,2.3,135.58,0.77,7.66,6.13,39.83,11.49,0,4.6,0,0,0,0,0,0,0,0,0,3.06,80.43,3.83,0
120,0,0,0,0,29.4,5.88,0,21.56,21.56,13.72,23.52,3.92,0,5.88,0,0,3.92,0,3.92,0,143.06,1.96,7.84,9.8,33.32,19.6,0,3.92,0,1.96,1.96,0,0,0,0,1.96,0,0,99.95,11.76,0
