stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,18.4,0,0,0,0,15.77,0,0,0,0,0,92,0,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,12.59,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,2.3,0,0,0,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,2.12,2.12,0,0,3.19,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,2.19,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,0,1.53,0,0,0.77,0,0,0,0,1.53,0.77,0,3.06,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
