stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,0
 24-34,0.82,0,1.64,0,2.46,0,0,0,1.64,0,0,25.45,0,0,0,13.13,0
 36-46,0.81,0,1.61,0,6.45,0,0,0,5.64,0,0.81,87.82,0,0,0,8.86,0
 48-58,0.57,0,4.02,0,2.3,0,0,0,3.44,0,1.72,102.71,0,0,1.15,2.3,0
 60-70,0,0,2.94,0.98,0.98,0.98,0,0,4.91,0,0,123.67,0,0,0,0.98,0
 72-82,0,0.98,4.91,0,0.98,0,0,0,6.87,0,0,65.77,4.91,0,0,0,0
 84-94,0,0,2.12,0,2.12,7.43,0,0,14.87,0,0,52.04,3.19,1.06,0,1.06,0
 96-106,1.09,0,1.09,0,4.37,4.37,0,1.09,12.02,0,0,36.06,1.09,0,0,1.09,0
108-118,0,0,3.83,0,3.06,2.3,0.77,0,15.32,0.77,0,33.7,0.77,0.77,0,1.53,0.77
120,3.92,0,1.96,0,0,1.96,1.96,0,11.76,0,0,68.59,1.96,0,0,1.96,0
