stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,23,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,69,1,0,1,1,0,1,19,0,1,11,19,0,1,0,0
 24-34,0,0,1.64,10.67,0.82,0,16.42,0,0.82,0.82,4.93,0,0,0,1.64,1.64,1.64,0.82,0,26.27,0.82,0,11.49,171.56,0.82,1.64,4.1,0,0.82,14.78,0,0.82,0,3.28,42.68,0,3.28,0,0
 36-46,0,0,0,9.67,0,0,13.7,1.61,0,1.61,4.03,1.61,0,0,0,0,0.81,1.61,0,15.31,0,0,7.25,75.73,0.81,1.61,4.03,0,0,6.45,0,0.81,0,0,13.7,0,1.61,0,0
 48-58,0,0,0,5.16,0.57,0,19.51,1.15,0.57,0,3.44,2.3,0,0.57,0,0.57,1.15,0.57,0,9.18,0,0,1.72,29.26,0,0.57,0.57,0,0.57,7.46,0,0,0,0,8.03,0,1.72,0,0
 60-70,0,0,0,8.83,0,0,20.61,2.94,2.94,0.98,10.8,1.96,0,0,0,0.98,0,2.94,0,11.78,0,0,0.98,22.58,0.98,0,1.96,0,0,6.87,0,0,0,0,3.93,0,0.98,0,0.98
 72-82,0,0,0.98,4.91,0.98,0,19.63,1.96,0.98,0.98,7.85,3.93,0,2.94,0.98,0,0.98,1.96,0,22.58,0,0,0.98,33.38,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0.98,2.94,0.98,0
 84-94,0,0,0,5.31,0,0,8.5,0,2.12,1.06,1.06,1.06,1.06,0,0,0,0,1.06,0,10.62,0,2.12,2.12,9.56,1.06,1.06,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,0,0,2.19,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,7.65,0,0,1.09,5.46,1.09,0,0,0,0,3.28,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0.77,0,4.6,0,0.77,2.3,0,3.06,0.77,2.3,0.77,0,1.53,0.77,0,0.77,0,0.77,5.36,0,0,1.53,9.19,0.77,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0
120,0,0,0,15.68,0,0,11.76,0,0,0,1.96,0,0,5.88,1.96,0,0,0,0,13.72,0,0,1.96,5.88,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
