stage,endoderm,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,7.89,0,0,28.92,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,34.62,0,0,56.65,0,0,0,3.15,0
 14-21,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,3,0
 24-34,0,0,0,0,1.64,0,0,0,4.1,0,0.82,0,0,0,0,2.46,0
 36-46,0,0,0,1.61,0,0,0,1.61,7.25,0,0.81,0,0,0,0,2.42,0
 48-58,0,0,0,1.15,0,0,0.57,0,4.59,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,2.94,0.98,0.98,0,0.98,5.89,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,1.06,4.25,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,3.28,0,0,0,0,1.09,0,0,0
108-118,0,0,0,3.83,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96
