stage,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,13.13,0,0.82,0,26.27,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,31.42,0,0.81,0,33.03,0
 48-58,0,0,0,4.02,0.57,1.15,0,0,0,0,0.57,32.71,0,1.15,0,9.18,0
 60-70,0,0,0,10.8,2.94,1.96,0,0,0,0.98,0,47.11,0,0.98,0,10.8,0
 72-82,0,0.98,0,10.8,0.98,1.96,0,0,0.98,1.96,0,36.32,0,0,0,4.91,0
 84-94,0,0,1.06,7.43,1.06,1.06,0,2.12,0,1.06,0,18.05,0,0,2.12,4.25,0
 96-106,0,0,1.09,7.65,2.19,0,1.09,1.09,0,1.09,0,26.23,0,0,0,1.09,0
108-118,0,0,0,6.89,0,0,0.77,0,0,0.77,0,13.79,0,0,0.77,1.53,0.77
120,0,0,1.96,3.92,0,0,0,0,0,0,0,33.32,0,0,0,0,0
