stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0
 14-21,0,1,1,0,3,0,0,0,0,1,5,0,1,0,2,2,0
 24-34,0,1.64,0,0,0,0.82,0,0,0,0,4.93,0,0,0.82,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,5.64,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0.98,0.98,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0.77,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0
