stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,39.43,26.29,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,1,1,1,0,1,0,0,0,0,0,4,0,0,3,1,1
 24-34,0,0.82,0,0,0,3.28,0,0.82,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,2.87,0,0,0,0,0,4.02,0,0,0,0,1.72
 60-70,0,0,0,0,0,4.91,0,0,0,0.98,0.98,2.94,0,0,0,0,0.98
 72-82,0,0,0,0,0,5.89,1.96,1.96,0.98,0,0,9.82,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,2.12,0,0,0,0,0,1.06,0,2.12,0,0,0
 96-106,0,1.09,0,1.09,0,3.28,1.09,0,0,0,0,2.19,0,2.19,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0
