stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,63.09,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,31.47,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,18,0,1,0,1,0,0,0,5,0,3,10,0,0,0,0
 24-34,0,0,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,7.39,0,4.1,40.22,0,0,0.82,0,0,0,0,0,0,0,11.49,0,2.46,0,0
 36-46,0,0,0,0.81,0,12.09,0,0,0,0.81,0,0,0,0,0,4.83,0,1.61,63.65,0,0.81,0,0,0,0,0,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,0.57,0,9.75,0,0,0,1.72,0,0,0.57,0,0,4.59,0,2.3,39.02,0,0,0,0,0.57,0,0,0,0,0,11.48,0.57,1.15,0,0
 60-70,0,0,0,0.98,0,21.59,0,0.98,0,3.93,0,0,0.98,0,0,8.83,0,1.96,63.8,0,0,0,0,0,0,0,0,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0,6.87,21.6,0,0,0,1.96,0,0,0,0,0,11.78,0.98,0.98,34.36,0,0,0,0,0,0,0,0,0,0,6.87,0,3.93,0,0.98
 84-94,0,0,0,1.06,2.12,16.99,0,0,0,1.06,0,0,1.06,0,2.12,14.87,2.12,1.06,22.3,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,5.46,4.37,9.84,0,0,0,1.09,0,0,1.09,0,0,9.84,2.19,0,20.76,0,0,0,0,0,0,0,0,0,0,1.09,1.09,2.19,1.09,0
108-118,0,0,0.77,1.53,1.53,5.36,0.77,0,0.77,3.06,0.77,0,0.77,2.3,0.77,2.3,0,1.53,26.04,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0,0.77,0
120,0,0,1.96,1.96,3.92,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,27.44,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
