stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,28.92,2.63,0,0,55.2,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,575.69,42.06,0,0,123.55,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.67,3.15,0,0,107,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,55,23,5,1,0,0,1,0,0,0,0,0,0,0,5,0,0,2,30,2,1,1,4,0,1,22,1,1,8,14,0,0,6,0,2
 24-34,0,0,0,41.04,1.64,3.28,8.21,0.82,0.82,0,0,1.64,0,0,0,0,1.64,4.1,1.64,0,0.82,54.18,0,1.64,0.82,0,0,0.82,0.82,0,0,3.28,6.57,0,0,11.49,0,3.28
 36-46,0,0,0,12.89,0,4.83,4.03,0.81,4.83,0,0,0.81,0,0,0,0,2.42,3.22,0,0,1.61,68.48,0.81,0,1.61,0,0,0,0,0.81,0,0,11.28,0,0,8.86,0,7.25
 48-58,0,0,0,4.59,0,5.74,6.31,0.57,6.89,0,0,1.72,0,0,0,0.57,0.57,9.18,0,0,1.15,44.76,0,0,1.15,0,0,0.57,0,0,0,0,6.89,0,0,5.74,0,4.02
 60-70,0,0,0,9.82,0,16.69,7.85,0,13.74,1.96,0,0,0,0,0,0.98,2.94,7.85,1.96,0.98,0,89.32,0.98,0,0.98,0,0,0,0,0,0,0,9.82,0,0,3.93,0,4.91
 72-82,0,0,0,7.85,0,18.65,5.89,2.94,20.61,0,0,0.98,0,1.96,0,0.98,0,10.8,0,0,1.96,107.98,0,2.94,0.98,0,0,0.98,0,0,0,0,8.83,0,0.98,8.83,1.96,4.91
 84-94,0,0,0,9.56,1.06,21.24,6.37,0,10.62,0,0,0,0,1.06,1.06,1.06,1.06,12.74,0,0,1.06,38.23,0,3.19,3.19,0,0,0,0,0,0,0,6.37,1.06,1.06,11.68,0,7.43
 96-106,0,0,0,14.21,0,25.14,3.28,0,18.58,4.37,0,2.19,2.19,2.19,1.09,1.09,0,12.02,1.09,1.09,3.28,57.92,0,2.19,2.19,0,0,5.46,0,0,0,0,2.19,0,2.19,9.84,2.19,5.46
108-118,0,0,0,13.02,0,18.38,5.36,0,9.96,2.3,0,1.53,0,2.3,1.53,0,0,16.09,0.77,0.77,3.06,65.11,0,0.77,0,0,0.77,1.53,0,0,0.77,0,3.06,2.3,0,9.19,0,2.3
120,0,0,0,11.76,0,15.68,5.88,0,13.72,1.96,0,1.96,3.92,0,0,0,0,5.88,1.96,0,0,70.55,0,0,0,0,0,0,0,0,0,0,5.88,1.96,0,17.64,1.96,5.88
