stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,6,0,0,0,0,0,2,1,0,0,0,0,47,1,6,0,0,0,1,8,36,0,0
 24-34,4.1,0,4.1,0,0,0,1.64,0,0,0,0,0,316.03,0,9.03,0,0,0.82,0,0,100.14,0.82,0
 36-46,0,0.81,26.59,0,0,0,2.42,0,0,0,2.42,4.03,427.81,0,3.22,1.61,0,0.81,0,0,128.91,0.81,0
 48-58,0,0,26.4,0,0.57,0,4.02,0,0.57,0,1.15,2.87,159.52,0.57,1.72,0.57,0,0,0,0,72.87,0.57,0
 60-70,0,0,128.58,0,0,0,8.83,0.98,0,0,0.98,1.96,88.34,0,0,0.98,0,0.98,0,0,19.63,0,0
 72-82,0,0.98,161.97,0,0,0.98,2.94,0,0,0,4.91,2.94,69.7,0,0.98,0,0,1.96,0,0,7.85,0,0
 84-94,2.12,0,162.49,0,0,0,5.31,0,1.06,1.06,1.06,0,48.85,0,1.06,7.43,0,7.43,0,0,7.43,0,0
 96-106,0,0,92.89,0,0,1.09,4.37,0,0,1.09,2.19,1.09,30.6,0,0,4.37,0,8.74,0,0,2.19,0,0
108-118,1.53,0,58.98,0.77,0.77,0,1.53,0.77,0,0,1.53,0.77,37.53,0,1.53,2.3,0.77,12.26,0,0,0,0.77,0.77
120,1.96,0,47.03,0,1.96,0,3.92,0,1.96,0,1.96,1.96,43.12,0,1.96,0,0,3.92,0,0,1.96,3.92,0
