stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,1,1,0,4,2,0
 24-34,0,3.28,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,5.75,0,0,0,0,0,0.82,0,0,0,3.28,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,3.22,0,0.81,0,0,0,0.81,0,0,0,0.81,0.81
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0.57,5.74,0,0.57,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,6.87,0.98,0,0,0,0,0,3.93,0,0,5.89,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,1.96
 84-94,0,1.06,0,0,4.25,0,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,1.09,0,0,0,0,0,0,0,1.09,1.09,0,1.09,4.37,0,1.09,1.09,0,0,2.19,0,0,0,2.19,0
108-118,0,1.53,0,0.77,0.77,0.77,0.77,0.77,0,0.77,0,1.53,0,0.77,1.53,0,0,0.77,0,0.77,3.83,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0
