stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,7.39,0,0,0,0,4.93,0,0,1.64,18.88,0,1.64,0,0.82,0,0,9.85,0.82,0,0.82
 36-46,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,0,1.61,3.22,0.81,0,0,32.23,0,0,0,0,0,0,18.53,4.83,0,0
 48-58,0,0,1.15,0,0,8.61,0,0,1.15,0.57,0,0,0,0,4.59,0,0,1.15,21.8,0,0,0,2.3,0,0,17.79,7.46,0,0
 60-70,0,0,0,0,0,9.82,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0.98,27.48,0,0,0,0.98,0,0,2.94,3.93,0,0
 72-82,0,0,0.98,0.98,0,10.8,0,0,1.96,0,0,0,0,0,4.91,0,0.98,0,21.6,0,0,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,3.19,0,0,1.06,1.06,0,0,0,11.68,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,1.09,0,13.11,1.09,0,3.28,0,0,0,1.09,1.09,7.65,1.09,0,1.09,7.65,1.09,0,1.09,4.37,0,0,1.09,2.19,0,0
108-118,0,0,3.06,0,3.06,6.13,0,0.77,2.3,1.53,0.77,0.77,0,1.53,3.83,0,0,0,16.09,0,0,0,1.53,0,0.77,0,0.77,0.77,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,1.96,3.92,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0
