stage,epidermis,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,slow.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0
 48-58,0,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,6.87,0
 72-82,0,0,0,0.98,0,6.87,0,0,0,0,0,7.85,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,0,0,24.43,0
 96-106,1.09,0,0,3.28,1.09,16.39,0,0,2.19,2.19,1.09,45.9,0
108-118,2.3,0.77,1.53,5.36,1.53,5.36,2.3,0.77,0,0,0,36.77,0.77
120,1.96,1.96,0,3.92,1.96,3.92,0,0,5.88,0,0,23.52,0
