stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,18.88,0,0,0,0,0,0,59.79,3.15,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0
 24-34,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,2.46,0,12.31,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,1.61,0.81,0,0,0,0,0,0,2.42,1.61,8.86,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0,1.72,0,7.46,0,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,7.85,0.98,0,0,0,0,0,0,4.91,0,7.85,0.98,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,3.93,0.98,0,0,1.96,0,0,0.98,3.93,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,4.25,1.06,0,0,0,0,0,0,5.31,2.12,3.19,0,0,0,0,0,5.31,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,3.28,0,5.46,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,1.53,3.06,2.3,0,0,0.77,0,1.53,0,3.06,0,2.3,0,1.53,1.53,0,0.77,0.77,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,1.96,9.8,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
