stage,endocrine_pancreas,endoderm,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,70.98,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,2.63,0,0,0,0,0,0,0
 10-12,0,47.2,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,5,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,6.57,0,0,17.24,0,0.82,0,2.46,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.25,0,0,3.22,0,0,0,4.03,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,1.15,0,0.57,0,0.57,0,0,0,16.07,0,0,2.87,0,0,0,1.72,0,0,0.57,0,1.15,0,2.3,0
 60-70,0,0,2.94,0,0,0,0,0.98,0,0,17.67,0.98,0,0,4.91,0,0,0.98,0,0,1.96,0,0,0,3.93,0
 72-82,0,0,3.93,0,0,0,0,0,0,0,52.03,0,0.98,1.96,4.91,0,0.98,6.87,0,0,0.98,0,0,0.98,4.91,0
 84-94,0,0,3.19,1.06,0,0,0,0,0,0,61.6,0,0,0,4.25,0,0,0,0,0,2.12,1.06,0,0,4.25,1.06
 96-106,0,0,3.28,0,0,0,0,1.09,0,0,96.17,0,0,4.37,10.93,0,0,5.46,0,0,3.28,0,0,0,12.02,3.28
108-118,0,0.77,4.6,0.77,0,0.77,0,0.77,0,0.77,98.04,0,0,3.83,0,0,0.77,6.13,0,0,0.77,0,0,0,5.36,0
120,0,1.96,5.88,3.92,0,0,0,0,0,0,103.87,0,1.96,1.96,3.92,0,0,0,0,0,1.96,0,0,0,5.88,0
