stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,1,0,2,0,0,4,12,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,59.1,0,0,0.82,0.82,11.49,0,0.82,0,0,19.7,38.58,1.64,0,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,24.17,0,0,0,0.81,2.42,0,0.81,0,0,73.32,27.39,1.61,0,0,0
 48-58,0,0,0,3.44,0.57,0,0,0,0,0,11.48,0,0,0,0.57,1.72,0.57,3.44,3.44,0,117.06,30.99,1.72,0,0.57,0.57
 60-70,0,3.93,0,0.98,0,0.98,0.98,0,0,0,16.69,0,0,0,0.98,1.96,0,6.87,4.91,0,182.56,33.37,0,0,0,0
 72-82,0,2.94,0.98,1.96,0,0.98,0,0,0,0.98,32.39,0.98,0,0,1.96,0,0,9.82,10.8,0,91.29,52.03,0,0.98,0.98,0
 84-94,0,7.43,0,2.12,0,2.12,1.06,1.06,0,0,58.41,0,1.06,0,1.06,2.12,0,4.25,36.11,1.06,246.39,100.89,0,1.06,0,0
 96-106,1.09,5.46,0,3.28,0,0,0,0,0,0,68.85,4.37,0,0,2.19,0,0,5.46,41.53,2.19,116.93,80.87,0,1.09,1.09,0
108-118,0.77,3.83,0,1.53,0,2.3,0,0,0,0,37.53,1.53,0.77,0,1.53,2.3,0.77,4.6,22.98,1.53,121.79,65.87,0,0,0,0
120,0,11.76,0,7.84,0,1.96,0,0,0,0,37.24,1.96,1.96,0,1.96,1.96,0,5.88,19.6,3.92,186.18,48.99,0,1.96,0,0
