stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8,81,34,0,13,0,0,0,6,6,1,0,0,2,1,0,1,0,28,0,0,24,161,7,2,2,7,0,29,0,30,4,0,53,56,0,0,10,0,0
 24-34,0,0.82,32.83,0,0,26.27,0.82,4.1,1.64,15.6,0,0,2.46,0,5.75,0.82,0.82,0,0.82,68.95,0.82,0,33.66,299.61,5.75,2.46,4.93,0,0,74.7,0,0.82,6.57,1.64,10.67,80.44,0,0,35.3,0,4.1
 36-46,0,0,8.86,1.61,0,36.26,2.42,3.22,3.22,21.75,0.81,0,2.42,0,1.61,0.81,1.61,0,1.61,57.2,0,1.61,22.56,186.11,2.42,2.42,3.22,0,0.81,61.23,0,0,3.22,0,0,53.17,0,0,23.36,0.81,2.42
 48-58,0,0,12.05,0,0,51.07,4.59,3.44,7.46,41.31,0.57,0.57,9.18,0,0.57,0,0.57,0.57,2.3,79.19,1.15,2.3,10.9,113.04,0.57,1.72,2.87,0,0,38.44,0.57,0,1.15,1.72,0,45.9,0,0,16.07,0.57,2.87
 60-70,0,0,9.82,1.96,0,47.11,1.96,5.89,2.94,53,1.96,0,0,0.98,2.94,0.98,0.98,1.96,0,93.24,1.96,1.96,5.89,84.41,0,2.94,2.94,0,0.98,51.04,0,0,3.93,0.98,0,17.67,0,2.94,20.61,0,4.91
 72-82,1.96,0,19.63,1.96,0,53.01,2.94,1.96,6.87,63.81,7.85,2.94,3.93,0,3.93,0.98,1.96,0,0,143.32,2.94,6.87,13.74,85.4,1.96,1.96,2.94,0,0.98,45.16,0,0,1.96,0,0,12.76,0,6.87,31.41,5.89,1.96
 84-94,1.06,0,29.74,3.19,3.19,53.1,1.06,14.87,8.5,31.86,12.74,0,2.12,4.25,3.19,1.06,2.12,3.19,0,87.09,3.19,4.25,10.62,49.92,3.19,1.06,7.43,0,0,103.02,0,0,3.19,2.12,0,9.56,3.19,2.12,20.18,2.12,1.06
 96-106,1.09,0,26.23,4.37,1.09,40.44,0,8.74,0,38.25,12.02,0,5.46,2.19,6.56,4.37,4.37,1.09,2.19,90.71,0,5.46,12.02,52.46,1.09,3.28,5.46,0,1.09,146.44,0,0,3.28,1.09,0,4.37,0,2.19,33.88,2.19,6.56
108-118,0,1.53,32.17,2.3,3.83,32.17,1.53,9.96,3.06,39.06,19.15,0,0,3.06,6.89,4.6,2.3,6.13,2.3,65.11,3.06,4.6,7.66,52.85,3.83,2.3,2.3,0,2.3,78.13,0,0,3.83,0.77,0,3.06,1.53,1.53,27.57,1.53,6.13
120,1.96,0,54.87,5.88,0,19.6,1.96,9.8,5.88,27.44,15.68,0,3.92,1.96,5.88,1.96,0,1.96,1.96,78.39,1.96,3.92,11.76,62.71,0,0,1.96,0,0,82.31,0,0,5.88,1.96,0,3.92,1.96,7.84,19.6,7.84,1.96
