stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
 24-34,0,0.82,0,0.82,786.38,0,3.28,0,0.82,0.82,1.64,0,1.64,0.82,0.82,0,0,0,0.82,3.28,0,3.28,68.95,0.82,0,0.82,0,0,2.46,0,0,1.64,18.06,0,0,6.57,0,0
 36-46,0,0,0,1.61,422.17,0,4.03,0,0,0.81,0,0,0,0,0,0,0,0,0.81,4.83,0,0,20.95,0,0,0,0,0,2.42,0,0,0,8.06,0,0,1.61,0,0
 48-58,0,0,0,1.15,641.51,0,23.53,0,0.57,1.15,1.72,0,0,0,0,0,0,0,0,4.59,1.15,1.15,35,0,0,0,0,0,0,0,0.57,0,4.59,0,0,2.87,0,1.15
 60-70,0,0,0,0,598.73,0,19.63,0,0,0,0,0.98,0,0,0.98,0,0,0,0,9.82,0,0,36.32,0,0.98,0,0,0,1.96,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,1.96,617.47,0.98,30.43,0,0,0.98,7.85,0,0.98,0.98,0,0,0,0.98,0,22.58,3.93,0.98,48.1,0,1.96,0.98,0,0,4.91,0,0,0,2.94,0,2.94,4.91,0.98,1.96
 84-94,0,0,0,3.19,434.37,0,16.99,2.12,0,0,3.19,2.12,3.19,4.25,0,1.06,0,0,0,7.43,9.56,1.06,21.24,0,0,0,0,0,6.37,0,0,0,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,0,6.56,560.63,0,22.95,0,1.09,0,2.19,1.09,0,1.09,0,0,1.09,0,0,9.84,10.93,2.19,36.06,0,1.09,1.09,0,0,9.84,0,1.09,0,3.28,2.19,2.19,3.28,0,0
108-118,0,0.77,0,3.06,369.96,0,6.13,0.77,0.77,0,3.83,1.53,0.77,0.77,1.53,1.53,0,0.77,0,9.19,7.66,1.53,16.85,0,1.53,0,0,0.77,3.83,0,0,0,0,0.77,0,4.6,0.77,0
120,0,0,0,3.92,491.91,1.96,15.68,3.92,1.96,0,5.88,3.92,0,1.96,0,0,0,1.96,0,3.92,11.76,0,35.28,0,0,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0
