stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,7.89,5.26,0,55.2,2.63,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,3.15,3.15,0,3.15,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0.82,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0
