stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,0,0,0,16,1,0,0,0,2,1,21,1,0,1,1,0,6,15,3,39,0,0,0
 24-34,0,0,0,6.57,0.82,0.82,0,21.34,0,0,2.46,0,4.1,5.75,32.83,0,0.82,3.28,0,0,0,4.1,0,32.83,0,0,0
 36-46,0,0,0,1.61,0,1.61,0,13.7,0,0,0.81,0.81,4.03,4.03,19.34,0,1.61,3.22,0,0,0,0.81,0,14.5,0,0.81,0
 48-58,0,0,0,0.57,0,1.72,0,10.33,0.57,0,0.57,0,6.31,1.15,12.05,0,1.72,4.02,0,0,0,0,0,16.07,0,0,0
 60-70,0,0,0.98,0.98,0,0,0,15.7,0,0,7.85,0,12.76,0.98,6.87,0,0.98,0,0,0,0,0.98,0,12.76,0,0.98,0
 72-82,0,0,0,0,0,0,0,16.69,0,0,9.82,0,4.91,0.98,3.93,0,1.96,6.87,0,0.98,0,0.98,0,5.89,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,12.74,0,1.06,9.56,0,1.06,0,3.19,0,3.19,8.5,0,0,0,1.06,0,5.31,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,9.84,0,0,14.21,0,1.09,1.09,2.19,0,1.09,5.46,0,0,0,2.19,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0.77,7.66,0,0,9.96,0,3.83,0.77,0.77,0,3.06,5.36,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,0,5.88,0,0,9.8,0,0,0,7.84,0,0,5.88,0,0,0,0,0,0,1.96,0,0
