stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,2.46,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,1.61,0,1.61,0,0,0,0.81,0
 48-58,0,0,0,1.72,0,0,0,0,0,0,0,1.15,0,0.57,0,1.72,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,1.96,0,3.93,0,0.98,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,0,1.06,0,0,2.12,1.06,4.25,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0.77,0.77,0,0,0
120,0,1.96,0,3.92,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,1.96
