stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,15.73,0,0,0,0,0
 14-21,0,0,1,22,13,0,0,0,0,5,0,1,0,0,16,11,38,1,1,2,0,1,0,5,16,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0.82,1.64,0,0,0,0,5.75,0.82,43.51,0,0,0,0,0,0,0,40.22,0,0.82,0
 36-46,0,0,0,0.81,0,8.86,0,0,0.81,0.81,0,0,0,0,2.42,2.42,63.65,0,0.81,0,0,0,0,0,104.74,0,1.61,0.81
 48-58,0,0,0,0,0,6.89,0,0,4.59,0,0,0,0.57,0,4.59,0,63.12,0.57,0,0,0,0,0,0,185.91,0,0,0
 60-70,0,0,0,0.98,0,14.72,0,0,1.96,0,0,0,0,0,2.94,0.98,77.54,0,0,0,0,0,0,0,181.58,0,0,0
 72-82,0,0,0,0,0,13.74,0,0,1.96,0,0,0,0,0,1.96,0,77.55,0,0,0,0.98,0,0,0,141.36,0,0,0
 84-94,0,0,0,0,1.06,10.62,0,0,3.19,0,0,0,0,0,3.19,0,39.3,0,0,0,0,0,0,0,56.29,0,0,0
 96-106,0,0,1.09,1.09,0,6.56,2.19,0,1.09,2.19,0,2.19,0,0,2.19,3.28,52.46,0,0,0,0,0,0,0,33.88,1.09,0,0
108-118,0,0,0,3.06,0,6.89,0,0.77,2.3,1.53,2.3,0,0,0.77,2.3,0.77,58.21,0,0,0,0,0,0,0,32.94,0,0,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,1.96,0,43.12,0,0,0,0,0,0,0,25.48,0,0,0
