stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,7.89,0,0,0,0,81.49,2.63,0,0,31.54,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,6.29,0,0,0,0,40.91,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,1,0,0,3,0,0,1,0,30,0,0,0,0,0,4,0,2,0
 24-34,0,0,0,0,0,8.21,1.64,0,5.75,0,48.43,0,0,0,0,0.82,0,0,8.21,0.82
 36-46,0,0,0,0,0,16.92,1.61,0,2.42,0.81,25.78,0,0.81,0,0,0,0,0,7.25,0
 48-58,0,0,0,0,0,20.08,0.57,0,0.57,0,10.9,0,0,0.57,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,9.82,0.98,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,4.25,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
