stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0,0,0
 36-46,0,0.81,1.61,0,2.42,0,7.25,0,0,3.22,0,0
 48-58,0,0,0.57,0,0.57,0,5.74,0,0,1.15,0,0
 60-70,0,0,2.94,0,0.98,0,11.78,0,0,0,0,0.98
 72-82,0,0,11.78,2.94,0,1.96,21.6,0,0,4.91,0.98,0
 84-94,0,0,7.43,0,0,0,16.99,0,0,1.06,0,0
 96-106,0,0,3.28,1.09,0,0,9.84,0,0,2.19,0,0
108-118,0,0,4.6,0.77,0,0,18.38,0,0,2.3,0,0
120,0,0,3.92,0,1.96,0,21.56,0,0,0,0,0
