stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,7.89,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,12.59,3.15,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,1,0,3,0,0,0,1,7,1,1,0,118,1,0,1,0,0,0
 24-34,0,4.1,0.82,0,0.82,0,0,0,5.75,0,1.64,1.64,0,22.98,0,0.82,0,260.21,0,0.82,3.28,0,0,0
 36-46,0,0.81,0.81,0.81,1.61,0,0.81,0,1.61,0.81,0.81,0,1.61,22.56,0,1.61,0,178.05,0,0,7.25,0,0,1.61
 48-58,0,2.3,2.3,0,1.15,0,0.57,0,0,0,1.15,1.15,0,9.75,0,0,0,112.47,0,0,4.02,0,0.57,0
 60-70,0,5.89,4.91,0,2.94,0,0.98,0,0,0,1.96,0,0,6.87,0,0,0,96.19,0,0,0.98,0,0,0.98
 72-82,0,11.78,4.91,0,3.93,0.98,1.96,0,0,0,1.96,1.96,0,6.87,0,0,0,117.8,0,0,1.96,0,0,0.98
 84-94,0,14.87,2.12,0,7.43,1.06,0,0,6.37,0,2.12,3.19,0,3.19,0,1.06,0,316.49,0,0,0,1.06,0,0
 96-106,0,50.27,4.37,0,7.65,0,4.37,3.28,10.93,0,0,4.37,0,7.65,0,1.09,0,310.37,0,0,0,0,0,1.09
108-118,0,35.23,2.3,0,22.98,0.77,0,9.19,7.66,0,2.3,4.6,0,4.6,0,1.53,0,261.19,0,0,0,0.77,0,0
120,0,33.32,1.96,0,25.48,0,0,5.88,7.84,0,1.96,1.96,0,9.8,1.96,1.96,0,199.9,0,0,0,0,0,0
