stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,2,0,0,0,0,0,0,0,0,3,0,9,0,1,1,0,1,3,3,5,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0.82,0,0,0,0,1.64,0,4.93,0,0,0,0,1.64,0,0,0.82,1.64,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,1.61,0,3.22,0,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,1.72,0,5.16,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,0,3.93,0,0,0.98,0,0.98,0,0.98,1.96,0.98,0.98,7.85,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,5.89,0,11.78,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,2.12,0,2.12,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,4.37,0,0,0,0,0,2.19,0,2.19,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0,0,0.77,0,0,3.83,0.77,5.36,0,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0
