stage,blastomeres,endocrine.pancreas,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,10,0,1,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,1.64,79.62,0.82,0,0,0,0,19.7,0,0,0
 36-46,0,0,0,6.45,0,1.61,0,0,2.42,0,0,111.18,1.61,0,0,0,0,20.95,0,0.81,0
 48-58,0,0.57,0,18.36,0,2.3,0,0,1.72,0,1.15,87.79,0,0.57,0,0,0,18.36,0,0,0
 60-70,0,0,0,37.3,0,1.96,0,0,2.94,0,0,110.91,0,0,0,0,0.98,14.72,0,0.98,0
 72-82,0,0,0.98,34.36,0,1.96,0,0,7.85,0,0,72.64,0,0,0,0,0,8.83,0.98,0,0
 84-94,0,0,0,18.05,1.06,3.19,0,1.06,0,1.06,0,48.85,0,0,0,0,0,5.31,0,0,1.06
 96-106,0,0,0,15.3,0,1.09,1.09,0,2.19,1.09,2.19,41.53,1.09,0,0,1.09,0,2.19,0,0,0
108-118,0,0,0,9.19,0,2.3,0,0,3.83,0,0,35.23,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,11.76,0,0,0,0,0,0,0,23.52,0,0,0,0,0,3.92,0,0,0
