stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,7116.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0
  5-6,410.69,4394.95,0,6.13,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,147.11,0,0,0,49.04,18.39,0,0,0,0,0,0,0,0,0
  7-9,78.86,36.8,0,92,0,0,0,102.52,0,0,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0,1161.89,65.72,0,0,604.6,2.63,13.14,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,44.06,0,6.29,0,78.67,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,701.77,12.59,0,0,333.58,0,3.15,0,15.73,3.15,3.15,0,0,0,0
 14-21,0,2,1,10,155,34,0,70,0,0,10,4,1,2,1,3,0,0,0,0,58,0,0,81,1190,9,12,14,35,23,0,223,6,108,413,0,2,0,0
 24-34,0,0,0.82,1.64,43.51,4.93,0,179.77,0,0.82,23.8,0,0.82,0,3.28,0,1.64,0,2.46,0.82,146.11,0.82,0,60.74,1696.71,8.21,22.98,15.6,0,65.67,0,0.82,4.93,11.49,454.75,0,23.8,0,1.64
 36-46,0,0,0,0,21.75,11.28,0,601.83,0,0,22.56,1.61,0,1.61,4.83,0.81,1.61,1.61,1.61,0,145.02,0.81,4.03,40.28,1393.81,4.03,5.64,8.86,0,24.17,0,0,1.61,0,360.13,0,11.28,0,1.61
 48-58,0,0,0,0,26.4,20.66,0,756.85,0,0,26.4,0.57,0,4.59,3.44,0,2.3,0.57,2.3,0,140.01,1.15,6.89,33.28,709.22,4.59,8.03,7.46,0,12.05,0,0,1.15,0,122.79,0,8.61,0,1.72
 60-70,0,0,0,0,17.67,0.98,0,484.87,0,0.98,33.37,1.96,0,0,3.93,0,0,0.98,0,0,85.39,0,10.8,21.59,311.14,2.94,0.98,4.91,0,7.85,0,0,0,0,17.67,0,1.96,0,0.98
 72-82,0,0,0,0,19.63,1.96,0,219.89,0.98,0,45.16,4.91,0,1.96,6.87,0,1.96,0,2.94,0,90.31,0,7.85,15.71,216.95,1.96,3.93,2.94,0,0.98,0,0,0.98,0,5.89,0.98,8.83,0,0.98
 84-94,0,0,0,0,35.05,11.68,0,163.55,0,0,18.05,9.56,0,0,6.37,1.06,3.19,1.06,4.25,0,69.03,0,10.62,25.49,194.35,2.12,6.37,4.25,0,5.31,0,0,1.06,0,8.5,1.06,13.81,2.12,1.06
 96-106,0,0,0,0,15.3,6.56,1.09,134.42,0,0,19.67,19.67,0,2.19,16.39,0,1.09,1.09,1.09,0,36.06,0,2.19,13.11,159.56,2.19,2.19,8.74,0,5.46,0,0,3.28,0,2.19,4.37,10.93,1.09,0
108-118,0,0,0,0,11.49,11.49,0,114.13,0,0,24.51,9.19,0,0,15.32,0.77,1.53,0,0.77,0,29.87,0.77,3.06,8.43,192.26,0.77,7.66,2.3,0,1.53,0,0,3.06,0,3.06,0.77,5.36,0,0.77
120,0,0,1.96,1.96,7.84,7.84,0,88.19,0,0,5.88,9.8,0,0,11.76,0,0,0,0,0,25.48,0,3.92,9.8,152.86,0,1.96,1.96,0,1.96,0,0,0,0,3.92,1.96,5.88,0,0
