stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,0,0,0,0,0,0,0,0,0,2,1,56,0,0,2,0,0,0,7,1,9,15,0,0,0
 24-34,0,0,0,0,7.39,0,0,0,3.28,0,0,0,0,0,9.85,1.64,145.29,0,0,0.82,0,0.82,0,0,0,3.28,22.98,0,2.46,0
 36-46,0,0,0,0.81,11.28,0,0,0,5.64,0,0,0,0,0,6.45,1.61,135.35,0,0,0,0,1.61,0,0,0,0,31.42,0,0,0
 48-58,0,0,0,0,13.2,0,0.57,0.57,9.75,0,0,0.57,0,0.57,5.74,3.44,81.48,0,0,0.57,0,1.15,0,0,0,0,17.79,0,0.57,0
 60-70,0,0,0,0.98,13.74,0.98,0,0,12.76,0,0.98,0,0,0,8.83,0.98,47.11,0,0,0,0,0.98,0,0,0,0,12.76,0,0,0
 72-82,0,0,0,0.98,11.78,0,0,0,11.78,0,0,0,0.98,0,14.72,2.94,55.95,0,0,1.96,0,0.98,0.98,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,3.19,8.5,1.06,0,0,3.19,1.06,0,2.12,0,0,14.87,0,24.43,1.06,0,1.06,0,2.12,0,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,0,0,8.74,0,0,0,6.56,0,0,0,0,0,9.84,0,22.95,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,8.43,0,0,0.77,5.36,0,0.77,0,0.77,0,4.6,0,24.51,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,9.8,0,0,1.96,11.76,0,0,0,3.92,0,11.76,5.88,21.56,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0
