stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,0,2,21,3,8,0,0,2,3,0,0,0,0,4,0,7,99,1,0,1,2,0,0,13,2,12,25,0,1
 24-34,0,1.64,6.57,0,15.6,1.64,0,3.28,0,0.82,0,1.64,0.82,16.42,0,9.03,151.86,0,0,0.82,0,0,2.46,0,0,3.28,35.3,0,11.49
 36-46,0,0,4.83,0.81,16.11,0,0.81,7.25,0,0,0,0,0.81,12.09,0,4.03,90.23,0.81,0.81,0.81,0,0,2.42,0,0,0,17.72,0,1.61
 48-58,0,0,1.15,0,14.92,0,1.15,9.18,0,0.57,0,0,0,10.33,0.57,0.57,54.51,0,0,0.57,0,0,1.15,0,0,0,14.35,0,0
 60-70,0,0,0.98,0,11.78,0,0,17.67,0,0,0,0,0,9.82,0.98,0.98,23.56,0,0.98,0,0,0,1.96,0,0,0,5.89,0,0.98
 72-82,0.98,0,0.98,0,8.83,0,0,14.72,0,0,0,0,0,13.74,0,0.98,18.65,0,0,0,0,0,0.98,0,0,0,1.96,0.98,2.94
 84-94,0,0,3.19,0,7.43,0,1.06,9.56,1.06,0,0,0,0,5.31,0,3.19,6.37,0,0,0,0,1.06,1.06,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,1.09,10.93,0,0,3.28,0,0,0,2.19,0,9.84,1.09,2.19,6.56,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.06,0,2.3,0,0,3.83,0.77,0,0,0.77,0,3.83,0.77,0.77,9.96,0,0,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,7.84,0,3.92,0,0,0,0,0,1.96,1.96,0,5.88,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,0,0
