stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,1,0,19,8,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.93,0,0,0.82,0,2.46,0,0.82,0,0,0,0.82,3.28,0,0,10.67,56.64,0,0,0,0,0.82,0,0.82,45.97,4.93,21.34,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,36.26,0,0,0,0,2.42,0,0,0,0,0.81,0,4.03,0,0,7.25,121.66,0.81,3.22,0,0,0.81,0,0.81,54.79,0,30.62,0,0,0,0,0
 48-58,0,0,2.3,0,0,21.23,64.27,0,1.15,8.61,0,0,0,0,0,0.57,0,0.57,13.2,0,0,9.75,220.34,1.15,0.57,0,0.57,2.3,0,0,70,0,28.69,0,0.57,0,0,1.15
 60-70,0,0,1.96,0,0,49.08,115.82,0,0,3.93,0,0.98,0,0,0,0,0,0.98,13.74,0,0,11.78,389.66,0,0,0,0,2.94,0,0,52.02,0,51.04,0,0,2.94,0.98,0.98
 72-82,0,0,1.96,2.94,0,117.8,129.58,0,2.94,21.6,0,0,0,0.98,0,0,0,0,27.49,0,0,10.8,580.16,2.94,0,0.98,0.98,3.93,0,0,37.3,0,42.21,0,0,2.94,0.98,2.94
 84-94,0,0,8.5,5.31,0,91.34,182.67,1.06,2.12,8.5,1.06,1.06,0,0,0,0,0,1.06,16.99,0,0,21.24,302.68,3.19,3.19,0,0,4.25,0,0,57.35,0,24.43,5.31,0,1.06,0,1.06
 96-106,0,0,7.65,7.65,0,87.43,281.95,0,5.46,20.76,1.09,1.09,4.37,3.28,0,3.28,3.28,1.09,42.62,3.28,3.28,20.76,283.05,0,3.28,3.28,1.09,9.84,0,1.09,72.13,0,18.58,4.37,2.19,3.28,3.28,2.19
108-118,0,0,6.13,5.36,0.77,54.38,284.17,2.3,0.77,13.02,2.3,2.3,1.53,0,0.77,0,0.77,2.3,18.38,0,0,36.77,301.02,0.77,0.77,0.77,0,3.83,0,0.77,69.7,0,12.26,9.19,2.3,0.77,0,0.77
120,0,0,13.72,1.96,5.88,56.83,221.46,0,0,19.6,0,1.96,1.96,0,0,0,0,0,15.68,0,1.96,41.16,342.96,0,0,0,0,3.92,1.96,1.96,29.4,0,15.68,0,0,0,0,0
