stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,9
 24-34,0,0.82,0,0,1.64,0,0.82,2.46,0,0,4.1,0,0.82,0.82,0,4.93
 36-46,0,0,0,0,0,0,0,1.61,0,0.81,2.42,0,0,0,0,1.61
 48-58,0,0,0,0.57,2.87,0,0,1.72,0,0,3.44,0,0,0.57,0,2.87
 60-70,0,0.98,0,0,0,0,0,0.98,0.98,0.98,5.89,0.98,0,0,1.96,5.89
 72-82,0.98,0,0,0,1.96,0,0,2.94,0,0,2.94,0,0.98,0,0,5.89
 84-94,0,1.06,1.06,1.06,3.19,0,0,2.12,0,0,1.06,0,2.12,1.06,0,5.31
 96-106,0,0,0,1.09,2.19,0,0,3.28,0,0,3.28,2.19,7.65,0,0,5.46
108-118,0,1.53,0,0,2.3,0.77,1.53,1.53,0,0,1.53,1.53,1.53,2.3,0,3.83
120,0,0,0,1.96,0,0,0,0,0,0,9.8,1.96,3.92,0,0,1.96
