stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0.98,0,1.96,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,0.98,0.98,0,2.94,0,0,0,0,86.39,0,0,0,2.94,0.98,0,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,10.62,0,0,1.06,0,8.5,0,0,0,2.12,223.03,0,0,0,5.31,0,1.06,13.81,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,18.58,0,5.46,2.19,0,20.76,0,1.09,1.09,5.46,401.07,1.09,1.09,5.46,9.84,0,2.19,81.96,0,0,0,0,6.56,0,0,0,1.09,4.37,1.09,4.37,0,2.19
108-118,0,0,11.49,0,3.06,1.53,0.77,8.43,1.53,0,0.77,3.06,496.34,1.53,0.77,5.36,12.26,2.3,3.06,84.26,0.77,0.77,0,0.77,2.3,0,0.77,0,2.3,0.77,0,2.3,0,0.77
120,0,0,7.84,0,9.8,3.92,0,9.8,0,0,3.92,3.92,366.48,1.96,1.96,5.88,3.92,0,0,92.11,0,0,0,1.96,5.88,0,0,0,0,0,0,0,1.96,0
