stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,6,65,7,0,42,0,0,0,6,3,0,0,1,0,0,0,1,70,0,0,77,325,13,2,2,11,0,1,33,2,61,127,0,0,2,0,0
 24-34,0,0.82,3.28,32.01,0.82,0,50.89,0,0,2.46,16.42,0.82,3.28,0.82,0.82,0,2.46,1.64,0,197.01,3.28,0,93.58,495.8,12.31,0.82,5.75,0,0,1.64,0,0,10.67,169.1,0,0,8.21,0,0
 36-46,0.81,0,0,13.7,0,0,53.17,0,0.81,2.42,22.56,0,0.81,0,0,0,0,1.61,0.81,232.03,0,2.42,51.56,298.9,16.92,1.61,4.83,0,0,1.61,0,0,0,136.96,0,0,12.09,0,0
 48-58,0,0,0,10.9,0.57,0,45.9,0,0.57,3.44,35,0,1.15,0,0,0,1.15,0,1.72,238.13,0.57,2.87,33.28,90.09,8.61,0,1.72,0,0,0,0,0,0,56.23,0,0,4.02,0,1.72
 60-70,0,0,0,10.8,0,0,48.09,0,3.93,8.83,54.97,0,0.98,0.98,0.98,0,0.98,0.98,0,350.4,0,5.89,23.56,56.93,6.87,0,0.98,0,1.96,0,0,0,0,21.59,0,4.91,8.83,1.96,0.98
 72-82,0,0,0,14.72,0,0,37.3,2.94,0.98,10.8,76.57,0.98,0,0,0.98,0,3.93,0,0,556.6,0,11.78,32.39,54.97,0.98,1.96,4.91,0,0.98,0.98,0,1.96,0,9.82,0,5.89,17.67,6.87,0.98
 84-94,0,0,0,32.92,2.12,0,44.61,0,8.5,10.62,46.73,1.06,3.19,1.06,1.06,3.19,2.12,0,1.06,363.22,1.06,10.62,18.05,37.17,6.37,1.06,6.37,0,1.06,1.06,0,0,0,7.43,2.12,3.19,8.5,12.74,0
 96-106,0,0,0,32.79,3.28,0,37.16,1.09,7.65,12.02,50.27,4.37,2.19,2.19,0,1.09,0,2.19,2.19,281.95,1.09,16.39,20.76,51.36,9.84,0,5.46,0,4.37,0,0,0,0,4.37,0,7.65,8.74,6.56,1.09
108-118,0,0,0,46.72,0,0.77,43.66,1.53,14.55,7.66,58.98,4.6,3.06,0.77,1.53,2.3,1.53,0.77,1.53,288.77,0,8.43,22.21,39.83,7.66,1.53,10.72,0,3.06,2.3,0,0.77,0,2.3,1.53,3.06,8.43,3.83,0
120,0,0,0,60.75,0,1.96,35.28,0,9.8,1.96,50.95,3.92,5.88,3.92,0,0,1.96,0,0,262.61,3.92,15.68,15.68,66.63,17.64,1.96,7.84,0,3.92,0,0,1.96,0,1.96,0,1.96,15.68,9.8,0
