stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,124,7,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,27,1,0,5,0,0,26,0,7,0,3,16,11,0,7,0,0
 24-34,0,0,0,0,13.13,1.64,0,6.57,0,0.82,0,0,0,0,4.1,0,8.21,0,0,0,0,18.88,0.82,0,4.93,34.48,0.82,3.28,2.46,0,0.82,32.83,0,0,0.82,0,3.28,6.57,0,27.09,0,0
 36-46,0,0,0,0,8.06,0.81,0,2.42,0,0.81,0,2.42,0,0,1.61,0.81,1.61,0.81,2.42,0,0,20.95,0,0,7.25,37.87,0,0.81,0.81,0,0,16.11,0,0,0,0,0,5.64,0,14.5,0,0
 48-58,0.57,0,0,0,4.02,0,0,2.87,0,1.72,1.72,5.16,0.57,0,2.87,1.72,0,0,0,0,0,20.08,0.57,0.57,5.16,14.35,0,0.57,1.72,0,0,4.02,0,0,0,0,0,4.59,0,13.2,0,0
 60-70,0,0,0,0,10.8,0,0,2.94,0,1.96,0.98,7.85,0,0,4.91,0.98,2.94,0,2.94,0,0,36.32,0.98,4.91,4.91,26.5,0,0,1.96,0,0.98,7.85,0,0,0,0,0,4.91,0.98,9.82,1.96,0
 72-82,0,0,0,0,12.76,0,0,10.8,0,0.98,0.98,20.61,0,0,8.83,1.96,4.91,0.98,4.91,0,0,49.08,0,0,7.85,34.36,0,0.98,6.87,0,0,9.82,0,0,0,0,0,1.96,2.94,23.56,0.98,0
 84-94,0,0,0,0,20.18,0,0,10.62,0,0,1.06,12.74,2.12,0,3.19,8.5,5.31,0,1.06,0,0,38.23,0,3.19,2.12,18.05,0,1.06,1.06,0,0,5.31,0,0,1.06,0,0,2.12,4.25,13.81,3.19,0
 96-106,0,0,0,0,32.79,2.19,1.09,6.56,0,4.37,2.19,12.02,2.19,0,9.84,3.28,9.84,0,2.19,1.09,0,45.9,1.09,3.28,4.37,26.23,0,5.46,7.65,0,4.37,21.86,0,0,0,0,0,1.09,2.19,20.76,6.56,0
108-118,0,0,0.77,0,21.45,0,0,6.13,0,9.19,4.6,13.02,3.06,0,3.83,4.6,7.66,3.06,1.53,2.3,0,27.57,1.53,4.6,5.36,14.55,0,3.83,2.3,0,0.77,9.96,0,0,0,0,0,2.3,1.53,16.85,1.53,0.77
120,0,0,0,0,17.64,0,0,5.88,1.96,0,0,15.68,5.88,0,1.96,3.92,0,1.96,0,0,1.96,39.2,0,1.96,0,23.52,0,3.92,5.88,0,1.96,7.84,0,0,0,0,0,0,0,13.72,0,0
