stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,7.39,0,0,0,0,0,1.64,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,2.42,0.81,0,0,0,0,3.22,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,1.72,0.57,0.57,0,0,0,0.57,1.15,0,0,1.15,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0.98,0,0,0,3.93,2.94,9.82,0,0,2.94,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,0,0,3.19,7.43,9.56,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,3.28,1.09,0,0,1.09,5.46,5.46,10.93,1.09,0,2.19,0,0,0,1.09,0,0,0,3.28,1.09,1.09
108-118,0,0,0,1.53,0,2.3,0.77,0,1.53,0,8.43,12.26,13.79,1.53,0.77,3.06,0,0.77,0,0,0,0.77,0,1.53,0.77,0
120,0,0,0,0,1.96,1.96,0,0,1.96,0,5.88,13.72,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0
