stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,92,2.63,0,0,44.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,1,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,1,1,3,7,0,0
 24-34,0,0,0,4.93,0,2.46,0.82,0,0.82,0,0,0,0,0.82,0,4.93,0.82,0,0.82,65.67,0,2.46,0.82,0,0,5.75,0,0,0,0,16.42,0,0.82
 36-46,0,0,0,4.03,0.81,17.72,1.61,4.03,0,0,0,0,0,0,0,7.25,0,0,0.81,99.9,0,0,0.81,0,0,1.61,0,0,0,0,23.36,0,1.61
 48-58,0,0,0,4.02,0,41.89,0,4.59,0,0,0,0,0.57,1.72,0.57,5.74,1.15,0,1.15,93.53,0,1.15,1.15,0,0,4.02,0,0,0,0,18.94,0,0
 60-70,0,0,0,4.91,0,25.52,0,5.89,0.98,0,0,0,0.98,0,0,7.85,1.96,0,0.98,61.84,0,0,0,0,0.98,3.93,0,0,0,0,10.8,0,0
 72-82,0,0,0,4.91,0,36.32,0,2.94,0,0.98,0.98,0.98,0.98,0.98,0,6.87,0.98,0,1.96,47.12,0.98,1.96,0.98,0,0,1.96,0.98,0,1.96,0,3.93,0,0
 84-94,0,0,0,5.31,0,13.81,0,5.31,0,0,0,1.06,0,0,0,9.56,0,0,1.06,27.61,0,0,0,0,0,15.93,0,0,1.06,0,3.19,1.06,0
 96-106,0,0,0,3.28,3.28,10.93,0,0,1.09,0,0,0,4.37,0,0,4.37,1.09,0,0,12.02,0,2.19,0,0,0,29.51,0,0,0,0,1.09,4.37,0
108-118,0,0,0,11.49,0,9.19,2.3,2.3,1.53,0,0,0.77,1.53,0.77,0.77,4.6,0,0.77,0,15.32,0,2.3,1.53,0,0,11.49,0,0,0,0,0.77,1.53,1.53
120,0,0,0,7.84,0,9.8,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,31.36,0,1.96,0,0,0,13.72,0,0,0,0,1.96,3.92,0
