stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,13,15,0,0,8,0,2,1,0,0,1,2,0,0,1,0,0
 24-34,0,0,0,9.85,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0,0,255.29,0,0,12.31,18.06,0.82,0,32.83,0,0.82,0,0,0,0.82,2.46,0,0,1.64,0,0
 36-46,0,0,0,7.25,0.81,0,3.22,0,0,1.61,1.61,0,0.81,1.61,0,0,0.81,0,0,381.89,0,0,9.67,33.03,3.22,1.61,63.65,0,0,0,0,0,0.81,8.06,0,0,0,0,0
 48-58,0,0,0,15.49,1.72,0,32.71,1.15,1.15,2.3,14.35,0,0.57,0,0,1.15,1.72,1.15,0.57,866.45,0,0.57,7.46,99.27,5.74,0,102.14,0,4.59,0,0,0,0,17.21,0,0,0.57,0,3.44
 60-70,0,0,0,21.59,2.94,0,149.19,2.94,2.94,1.96,33.37,0.98,1.96,0.98,0,0,0,0.98,2.94,1499.77,0,1.96,11.78,182.56,0,0,98.15,0.98,12.76,0,0.98,0,0,27.48,0,0.98,3.93,0,1.96
 72-82,0,0.98,0,25.52,18.65,0,251.31,1.96,1.96,7.85,82.46,0.98,0,5.89,0.98,0,1.96,4.91,0,2020.26,0.98,2.94,26.5,331.8,4.91,4.91,166.88,4.91,15.71,0,3.93,0.98,0,18.65,4.91,4.91,17.67,2.94,16.69
 84-94,0,1.06,0,42.48,6.37,0,284.63,3.19,5.31,5.31,52.04,6.37,1.06,3.19,2.12,4.25,0,2.12,1.06,1665.27,2.12,5.31,19.12,127.44,5.31,2.12,201.79,2.12,22.3,0,4.25,2.12,0,8.5,2.12,8.5,4.25,4.25,4.25
 96-106,1.09,1.09,1.09,72.13,9.84,5.46,197.81,3.28,7.65,2.19,46.99,8.74,2.19,8.74,4.37,3.28,4.37,5.46,0,1308.14,1.09,5.46,6.56,160.65,0,8.74,251.35,1.09,27.32,0,2.19,1.09,0,5.46,4.37,4.37,12.02,3.28,2.19
108-118,0.77,0,0,34.47,9.96,2.3,163.15,0.77,5.36,3.06,32.94,4.6,0.77,6.89,2.3,2.3,4.6,0.77,0,1135.92,0.77,3.06,10.72,154.72,3.06,2.3,237.45,0.77,16.09,0,0,0,0,6.13,0,4.6,6.13,0.77,4.6
120,1.96,0,0,56.83,7.84,1.96,101.91,0,3.92,0,29.4,5.88,0,0,0,1.96,0,11.76,0,1162.15,1.96,1.96,7.84,88.19,5.88,0,207.74,0,11.76,0,0,1.96,0,1.96,1.96,1.96,1.96,1.96,3.92
