stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,21,0,0,0,0,0,0,1,0,39,18,10,0,0,0,0,0
 24-34,0,0,0,15.6,0,0,6.57,5.75,1.64,0.82,10.67,0,0,0.82,0.82,0,0,1.64,0,0,17.24,0,0,13.13,102.61,2.46,0.82,2.46,0,0.82,2.46,0,4.1,21.34,32.01,15.6,0,0,9.03,0,0
 36-46,0,0,0.81,12.89,0,0,16.92,7.25,0.81,0.81,44.31,0,0,5.64,0.81,0.81,0.81,3.22,0,0.81,47.53,1.61,1.61,13.7,202.22,0.81,0.81,3.22,0,0,5.64,0.81,3.22,8.86,2.42,58.81,0,0,16.92,0,4.83
 48-58,0,0,0,9.18,0,0,45.9,5.16,0.57,3.44,105.58,0,1.15,3.44,0,1.72,1.15,1.72,0.57,0.57,175.01,1.72,4.02,19.51,285.18,4.59,0.57,4.59,0,0.57,11.48,0,4.02,9.18,0,78.61,0,1.15,20.66,0,0.57
 60-70,0,0,0,32.39,0,0,64.78,10.8,1.96,2.94,151.15,1.96,0,9.82,1.96,0.98,2.94,2.94,0.98,0.98,343.53,2.94,8.83,15.7,365.13,3.93,0,4.91,0,3.93,23.56,0,4.91,1.96,0,74.6,0.98,10.8,28.46,1.96,6.87
 72-82,0,3.93,0,35.34,2.94,0,126.63,3.93,2.94,12.76,198.3,8.83,0,12.76,0.98,2.94,4.91,4.91,0,0.98,609.61,5.89,18.65,23.56,342.6,6.87,0.98,15.71,0,2.94,21.6,0,7.85,0.98,0,54.97,0,12.76,65.77,20.61,6.87
 84-94,0,0,0,50.98,6.37,0,140.19,5.31,3.19,6.37,109.39,13.81,4.25,9.56,4.25,9.56,7.43,1.06,2.12,3.19,417.38,8.5,16.99,27.61,160.37,4.25,4.25,13.81,0,5.31,57.35,0,20.18,5.31,0,36.11,1.06,10.62,52.04,14.87,6.37
 96-106,0,5.46,0,52.46,10.93,2.19,144.26,6.56,4.37,8.74,112.56,14.21,0,10.93,15.3,12.02,12.02,5.46,5.46,1.09,366.1,8.74,13.11,16.39,212.01,6.56,13.11,14.21,1.09,9.84,46.99,0,9.84,2.19,0,25.14,1.09,10.93,65.57,21.86,3.28
108-118,0,1.53,0,65.11,9.19,6.13,124.09,9.19,3.06,3.83,94.98,13.02,0,6.89,5.36,10.72,24.51,6.13,3.06,1.53,331.66,10.72,11.49,16.85,206.81,2.3,4.6,18.38,0.77,4.6,31.4,0,13.02,4.6,0,13.02,3.06,11.49,53.62,8.43,7.66
120,0,0,0,86.23,19.6,1.96,123.47,9.8,5.88,9.8,123.47,9.8,0,9.8,7.84,19.6,9.8,7.84,1.96,1.96,280.25,3.92,17.64,23.52,192.06,5.88,1.96,17.64,0,1.96,35.28,0,9.8,1.96,0,17.64,1.96,7.84,52.91,13.72,1.96
