stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,melanocytes,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,73.56,0,0,0,0,0,0,0,24.52,6.13,12.26,0,0,0,0
  7-9,10.51,2.63,7.89,0,0,2.63,0,0,0,60.46,39.43,152.47,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,12.59,0,75.53,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,1,4,0,2,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,1.15,0,1.72,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
