stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0.82,3.28,0.82,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,1.64,32.01,0,2.46,0,0,0,0,12.31,0,0,1.64,0,0
 36-46,0,0,2.42,0,0.81,0,0,1.61,0.81,0,0.81,0,0,0.81,0,0.81,0,0,2.42,70.09,0.81,3.22,0,0,0,0,10.47,0,0,1.61,0,0.81
 48-58,0,0,0,0,19.51,0,0.57,1.15,1.72,0,1.72,0,0,0,0.57,6.31,0,0,0.57,109.02,0,0.57,0,0,0.57,0,6.89,0,0,0.57,0,0
 60-70,0,0,1.96,0.98,132.51,0,0,0.98,5.89,0,1.96,0,0,0,0,2.94,0.98,0.98,0.98,236.55,0,0,0.98,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,3.93,0,195.35,0,0,0,5.89,1.96,0.98,0,0,0.98,0,5.89,0,3.93,1.96,299.41,0,0,0.98,0,0,0,7.85,0,0,0,0.98,0
 84-94,0,0,3.19,0,155.06,1.06,0,1.06,8.5,0,3.19,0,1.06,0,0,8.5,0,2.12,0,195.41,0,2.12,2.12,0,0,1.06,8.5,0,1.06,1.06,0,0
 96-106,0,0,4.37,1.09,118.03,0,1.09,1.09,14.21,1.09,0,0,1.09,0,0,7.65,0,1.09,1.09,163.93,0,0,1.09,0,2.19,0,3.28,0,0,0,0,0
108-118,0,0,3.83,0.77,111.83,0,0,0,9.96,0.77,0,0,0,0,0,7.66,0,0.77,0.77,174.64,0,2.3,1.53,0,0.77,0,2.3,0.77,0,0,0.77,0
120,0,0,5.88,0,111.71,0,0,0,3.92,1.96,0,1.96,0,1.96,0,7.84,0,0,0,152.86,0,0,0,0,1.96,0,5.88,0,0,0,0,0
