stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,3439.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1403.69,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,7.89,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,31.54,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,12.59,0,0,75.53,0,3.15,3.15,3.15,18.88,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,33,25,4,0,0,0,2,1,0,1,0,0,0,0,0,0,14,0,0,11,150,5,2,3,2,0,3,0,24,1,17,35,42,0,0,3,0,0
 24-34,0,0,0,12.31,5.75,17.24,0,0.82,0.82,5.75,0.82,0,0,4.93,0,0.82,3.28,0.82,0,30.37,0,0,12.31,234.76,2.46,2.46,3.28,0,0.82,16.42,0,0,0,1.64,2.46,64.85,0,0,7.39,0,1.64
 36-46,0,0,0.81,5.64,3.22,32.23,0.81,0.81,0.81,13.7,0,0,0.81,0,0,0.81,2.42,0,0.81,31.42,0.81,0.81,9.67,158.72,0,1.61,0.81,0,0,13.7,0,0,0,0,0,48.34,0,0,5.64,0,2.42
 48-58,0,0,0,3.44,0,34.43,0.57,1.15,1.15,13.77,0,0,0,2.3,0,0.57,0,0.57,0.57,33.28,0,2.3,6.89,49.35,0,0,2.87,0,0,3.44,0,0,0,0,0,24.67,0,0,8.03,0,2.3
 60-70,0,0,0.98,6.87,0,22.58,0,0,0.98,10.8,0,0,0,5.89,0,1.96,0.98,0.98,1.96,47.11,0,2.94,8.83,29.45,0,0.98,1.96,0,0.98,10.8,0,0,0,0,0,5.89,0,0,6.87,0,0.98
 72-82,0,0,0,6.87,0,16.69,0.98,0,2.94,14.72,4.91,0,1.96,9.82,1.96,0.98,2.94,0.98,0,54.97,0,3.93,2.94,26.5,0,0.98,0.98,0,0,7.85,0,0,0,0,0,1.96,1.96,0.98,14.72,0.98,2.94
 84-94,0,0,0,12.74,3.19,12.74,0,5.31,3.19,6.37,5.31,0,0,10.62,4.25,7.43,6.37,2.12,2.12,31.86,0,5.31,7.43,21.24,0,0,3.19,0,1.06,20.18,0,0,0,0,0,3.19,4.25,2.12,7.43,0,2.12
 96-106,0,0,0,16.39,2.19,5.46,0,1.09,0,12.02,7.65,0,0,24.04,3.28,3.28,0,0,0,34.97,0,0,3.28,24.04,0,1.09,4.37,0,2.19,13.11,0,0,0,0,0,0,0,0,13.11,3.28,6.56
108-118,0,0,0,15.32,2.3,12.26,0.77,0.77,0,9.96,4.6,0,0,19.92,3.06,7.66,2.3,1.53,0.77,34.47,0.77,0,6.13,26.81,0,2.3,2.3,0,0,12.26,0,0,0.77,0,0,0,0.77,0.77,8.43,0,2.3
120,0,0,0,5.88,3.92,5.88,1.96,0,1.96,5.88,3.92,0,0,17.64,1.96,3.92,3.92,0,0,9.8,0,0,1.96,25.48,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,13.72,0,0
